,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
11_3,11,826,3.1474106175477896,3.3423605182525025,3.317621905998937,,3.4289635600724724,2.738842253893831,3.013384832443063,2.7851615995792067,2.7648291944481587,2.771030210048018,2.6536440822525957,2.79254251053109,3.0050210940309796,2.6085876377791593,3.0186798629059948,3.1479615647196435,3.093502238569446,2.5756028107842126,3.0241574252269934,2.902148332144634,Correct,3.244885567900146
12_1,12,826,REJECT,,,,,,,,,,,,,,,,,,,,,
12_2,12,826,5.559877915179913,5.639719604108445,5.553934777417892,,5.448510513297557,5.378821935003285,5.426300726684562,5.553715364952109,5.4243228847575455,5.294762166716438,5.432158495096111,5.537431781191475,5.642703100266662,5.629683120140967,5.540851583359644,5.637050800391021,5.551977828571984,5.594736861216196,5.6043462687989845,5.558948953068951,Correct,5.599798759644179
12_3,12,826,4.82735083216593,4.77434653865398,4.767444434649956,,4.203784542978968,4.757879591988794,5.002158833933418,4.373044670849573,4.226195203628655,4.542479472659961,4.50852869491954,4.116633751239563,4.620254711449305,4.61673313818614,4.397769694288591,3.9770362513908055,4.49341037253354,4.411011175592851,4.942509004187157,4.638458355531034,Correct,4.800848685409955
13_1,13,826,2.508055842265155,2.624787953463996,2.395681193979219,,2.3504608611726594,2.329058036031305,2.3879659957693664,2.31046036235294,2.0408499838321066,2.2135053215705063,2.368527466191305,2.359577231540189,2.338758175153845,2.2465049532917654,2.3770090243757243,2.171953519877752,2.3540354080052035,2.444705570611565,2.448367842002105,2.3341232273453563,Correct,2.5664218978645756
13_2,13,826,2.4655024536722987,2.5178328744321923,2.2432521130721033,,2.3642988568886807,2.382097061829058,2.347016641658778,2.2673342482526633,2.2626708403669897,2.3291315134064976,2.3611094615375823,2.31967481185215,2.2722793828171386,2.332738819964637,2.1209154126987664,2.201382895952311,1.9430876765391867,2.13244299747649,2.3335358709529794,2.332053437439307,Correct,2.4916676640522457
13_3,13,826,2.081068751001286,2.271179892807593,2.425108974222347,,2.051205735503588,1.957256242263298,2.0535394728594145,1.9179992360888367,1.857762582921122,2.0171147943076044,2.1186130505441394,2.0599650413609982,1.8905255096664701,1.9798653357384906,1.8820923144563544,2.0012561735085375,1.9035029087071655,1.8792301369894269,2.0369843606697167,2.0282787658892,Correct,2.1761243219044397
14_1,14,826,4.101174970304907,3.858737121685338,3.936868046411975,,4.020750387085294,3.9552821453722062,4.016178046559503,4.035180596791818,4.017540270992007,4.104308280331369,4.131328462312462,4.157952409505505,4.16672551167468,3.9199557089307593,4.002767446926906,4.122788660056162,4.032195114785939,4.0385976487190085,3.932794667906219,4.00130116132539,Correct,3.9799560459951224
14_2,14,826,2.607932017786026,2.4845863445728726,2.5349842837054717,,2.6955366847969224,2.829290295940168,2.682738528146272,2.6820254461439514,2.608748272355802,2.7054653715473203,2.7568424548815407,2.8361160562368752,2.857011548934725,2.8589135224917936,2.5847318977903604,2.390464239645684,2.676869031212933,3.0740330171474897,2.8589229024088203,2.670211435648169,Correct,2.5462591811794493
14_3,14,826,3.607240026631564,3.747131654765797,3.7357110227380423,,3.8017394609262984,3.873092777440106,3.9267512980933517,3.942875477355098,3.9024705606975565,3.95119532090455,3.945745978162199,3.887255249042756,3.966509918310082,3.6889795318953613,3.550870403857986,3.5404004355424847,3.8039223913694795,3.6834570729445755,3.5862274402987047,3.648285882246794,Correct,3.6771858406986806
16_1,16,826,4.69556144029037,4.688338304450317,3.881576142083241,,2.580656512542649,2.624100866657141,2.773229446978193,2.8914055341238347,2.959534942591514,2.9371131719426096,2.9854399101951015,3.081413937154002,3.0985160428848593,3.1048023173244164,3.084793857488996,3.079408939461425,3.1083883797923795,3.1661941744593705,3.1707083118370694,3.1620431937325675,Correct,4.691949872370344
16_2,16,826,4.139685409952291,3.944844006881827,4.011944601198661,,2.5300901255107715,2.391768474255739,2.41562322357506,2.5266888803717666,2.6732236708016877,2.611733214181607,2.6505337225817045,2.722272761390595,2.7414078162338194,2.8685506729745334,2.8995444349286443,2.9833704089368,2.5883018207831676,2.7910342490932183,2.9263335607997103,3.0070124341050413,Correct,4.042264708417059
16_3,16,826,2.201341912516775,2.1629650579851885,2.2097891574081903,,2.1470945208526717,2.284403011321945,2.0820547946619623,2.387252013263177,2.489612484555589,2.2070503506841828,2.33804187014092,2.5139696447457616,2.6579225820621737,2.3522673557697042,2.4002006941255845,2.416659579291746,2.4657939922771135,2.5184836624317226,2.4854119675254767,2.5763255513688197,Correct,2.1821534852509816
17_1,17,826,3.980179185142976,3.98104856935806,3.7262454697413676,,1.943125026954184,1.8281236754663952,1.903326106417255,1.6228087455001807,1.8160054550578086,1.908459030255147,1.9002744771560212,1.9210751169622509,1.998257871740166,1.843400538870327,1.9350000710645363,1.9966074458025285,2.0550652834091823,1.9522774480199832,2.004404751918066,1.98791717484771,Correct,3.9806138772505184
17_2,17,826,3.9818845013118622,3.666466639990434,3.888790131139324,,4.039269796359808,4.075516776543809,4.123694930089308,3.8534794557969736,4.035900869655327,3.9777935815463676,3.8427945195965134,3.928130150275989,4.037577686944524,4.161668491624221,4.213835045590176,3.6733234503381547,3.883457978054034,4.005995321511057,4.002954521203276,3.9438733928111978,Correct,3.824175570651148
17_3,17,826,REJECT,,,,,,,,,,,,,,,,,,,,,
4_1,4,832,5.0022621203767486,4.668156402461044,4.697543054192744,,4.696452162310189,4.628757337651014,4.559525530615561,4.0206849868474075,4.264737638194808,4.521991518366569,4.6251774522115845,4.670117694342434,4.918232037994319,4.7279712979576995,4.521289491158956,4.5430267544239005,5.032380760104149,5.0053424266339155,4.5595433005275465,4.5390900528997316,Correct,4.835209261418896
4_2,4,832,4.147072154143217,4.448017236855758,4.653757509740476,,4.688272209661784,4.645357846006842,4.880674826095108,4.972347636553945,5.054873126025999,4.75208092098558,4.956777550080565,5.134806100528098,5.395142586535832,5.395093689431596,5.206667868566548,5.125083114352507,5.328575126677633,5.432433198114479,5.380623804794416,3.5693920109179174,Correct,4.297544695499488
4_3,4,832,REJECT,,,,,,,,,,,,,,,,,,,,,
